layer,code,linetype,lineweight,color,pattern_name,pattern_color,pattern_scale,pattern_lineweight,solid_color
N_H,X,continuous,0.18,"0,0,0",,,,,
N_H_01,X,continuous,0.18,"0,0,0",,,,,
N_H_02,X,continuous,0.18,"0,0,0",,,,,
N_M,X,continuous,0.18,"0,0,0",,,,,
N_M_01_a,X,continuous,0.18,"0,0,0",,,,,
N_M_01_b,X,continuous,0.18,"0,0,0",,,,,
N_M_02_a,X,continuous,0.18,"0,0,0",,,,,
N_M_02_b,X,continuous,0.18,"0,0,0",,,,,
N_P,X,continuous,0.18,"0,0,0",,,,,
N_P_01,X,continuous,0.18,"0,0,0",,,,,
N_S,X,continuous,0.18,"0,0,0",,,,,
N_S_01_a,X,continuous,0.18,"0,0,0",,,,,
N_S_01_b,X,continuous,0.18,"0,0,0",,,,,
P_C_03_a,X,continuous,0.18,"56,56,56",,,,,
P_C_03_b,X,continuous,0.18,"56,56,56",,,,,
P_C_04_a,X,continuous,0.18,"56,56,56",,,,,
P_C_04_b,X,continuous,0.18,"56,56,56",,,,,
P_C_09_a,X,continuous,0.18,"56,56,56",,,,,
P_C_09_b,X,continuous,0.18,"56,56,56",,,,,
P_C_10_a,X,continuous,0.18,"186,186,186",,,,,
P_C_10_b,X,continuous,0.18,"186,186,186",,,,,
P_C_11_a,X,continuous,0.18,"56,56,56",,,,,
P_C_11_b,X,continuous,0.18,"56,56,56",,,,,
P_C_12_a,X,continuous,0.18,"186,186,186",,,,,
P_C_12_b,X,continuous,0.18,"186,186,186",,,,,
P_C_13_a,X,continuous,0.18,"56,56,56",,,,,
P_C_13_b,X,continuous,0.18,"56,56,56",,,,,
P_C_15_a,X,continuous,0.18,"56,56,56",,,,,
P_C_15_b,X,continuous,0.18,"56,56,56",,,,,
P_C_16_a,X,continuous,0.18,"186,186,186",,,,,
P_C_16_b,X,continuous,0.18,"186,186,186",,,,,
P_C_17_a,X,continuous,0.18,"105,105,105",,,,,
P_C_17_b,X,continuous,0.18,"105,105,105",,,,,
P_C_18_a,X,continuous,0.18,"105,105,105",,,,,
P_C_18_b,X,continuous,0.18,"105,105,105",,,,,
P_C_19_a,X,continuous,0.18,"105,105,105",,,,,
P_C_19_b,X,continuous,0.18,"105,105,105",,,,,
P_C_20_a,X,continuous,0.18,"56,56,56",,,,,
P_C_20_b,X,continuous,0.18,"56,56,56",,,,,
P_C_23_a,X,continuous,0.18,"186,186,186",,,,,
P_C_23_b,X,continuous,0.18,"186,186,186",,,,,
P_C_25_a,X,continuous,0.18,"186,186,186",,,,,
P_C_25_b,X,continuous,0.18,"186,186,186",,,,,
P_C_26_a,X,continuous,0.18,"186,186,186",,,,,
P_C_26_b,X,continuous,0.18,"186,186,186",,,,,
P_C_27_a,X,continuous,0.18,"186,186,186",,,,,
P_C_27_b,X,continuous,0.18,"186,186,186",,,,,
P_C_28_a,X,continuous,0.18,"186,186,186",,,,,
P_C_28_b,X,continuous,0.18,"186,186,186",,,,,
P_C_29_a,X,continuous,0.18,"186,186,186",,,,,
P_C_29_b,X,continuous,0.18,"186,186,186",,,,,
P_C_30_a,X,continuous,0.18,"186,186,186",,,,,
P_C_30_b,X,continuous,0.18,"186,186,186",,,,,
P_C_31_a,X,continuous,0.18,"105,105,105",,,,,
P_C_31_b,X,continuous,0.18,"105,105,105",,,,,
P_C_32_b,X,continuous,0.18,"105,105,105",,,,,
P_G_02_a,X,continuous,0.18,"27,100,44",,,,,
P_G_02_b,X,continuous,0.18,"27,100,45",,,,,
P_K_01_a,X,continuous,0.18,"85,83,73",,,,,
P_K_01_b,X,continuous,0.18,"85,83,73",,,,,
P_K_02_a,X,continuous,0.18,"171,168,156",,,,,
P_K_02_b,X,continuous,0.18,"171,168,156",,,,,
P_K_04_a,X,continuous,0.18,"85,83,73",,,,,
P_K_04_b,X,continuous,0.18,"85,83,73",,,,,
P_K_05_a,X,continuous,0.18,"171,168,156",,,,,
P_K_05_b,X,continuous,0.18,"171,168,156",,,,,
P_M_02_a,X,continuous,0.18,"189,189,189",,,,,
P_M_02_b,X,continuous,0.18,"189,189,189",,,,,
P_M_04_b,X,continuous,0.18,"186,186,186",,,,,
P_R_03_a,X,continuous,0.18,"222,204,63",,,,,
P_R_03_b,X,continuous,0.18,"222,204,63",,,,,
P_R_04_a,X,continuous,0.18,"71,54,36",,,,,
P_R_04_b,X,continuous,0.18,"71,54,36",,,,,
P_S_01_a,X,continuous,0.18,"137,127,112",,,,,
P_S_01_b,X,continuous,0.18,"137,127,112",,,,,
P_S_04_a,X,continuous,0.18,"95,88,78",,,,,
P_S_04_b,X,continuous,0.18,"95,88,78",,,,,
P_T_01_a,X,continuous,0.18,"246,220,90",,,,,
P_T_01_b,X,continuous,0.18,"246,220,90",,,,,
P_T_01_c,X,continuous,0.18,"246,220,90",,,,,
P_T_01_d,X,continuous,0.18,"246,220,90",,,,,
P_T_02_a,X,continuous,0.18,"231,81,54",,,,,
P_T_02_b,X,continuous,0.18,"231,81,54",,,,,
P_T_02_c,X,continuous,0.18,"231,81,54",,,,,
P_T_02_d,X,continuous,0.18,"231,81,54",,,,,
P_T_03_a,X,continuous,0.18,"107,25,31",,,,,
P_T_03_b,X,continuous,0.18,"107,25,31",,,,,
P_T_03_c,X,continuous,0.18,"107,25,31",,,,,
P_T_03_d,X,continuous,0.18,"107,25,31",,,,,
P_T_04_a,X,continuous,0.18,"45,88,69",,,,,
P_T_04_b,X,continuous,0.18,"45,88,69",,,,,
P_T_04_c,X,continuous,0.18,"45,88,69",,,,,
P_T_04_d,X,continuous,0.18,"45,88,69",,,,,
P_T_05_a,X,continuous,0.18,"229,212,194",,,,,
P_T_05_b,X,continuous,0.18,"229,212,194",,,,,
P_T_05_c,X,continuous,0.18,"229,212,194",,,,,
P_T_05_d,X,continuous,0.18,"229,212,194",,,,,
P_T_06_a,X,continuous,0.18,"188,200,199",,,,,
P_T_06_b,X,continuous,0.18,"188,200,199",,,,,
P_T_06_c,X,continuous,0.18,"188,200,199",,,,,
P_T_06_d,X,continuous,0.18,"188,200,199",,,,,
P_T_07_a,X,continuous,0.18,"39,48,47",,,,,
P_T_07_b,X,continuous,0.18,"39,48,47",random_points_01,"105,105,105",1.5,,"105,105,105"
P_T_07_c,X,continuous,0.18,"39,48,47",,,,,
P_T_07_d,X,continuous,0.18,"39,48,47",,,,,
P_W_01_a,X,continuous,0.18,"160,130,90",,,,,
P_W_01_b,X,continuous,0.18,"160,130,90",,,,,
P_W_02_a,X,continuous,0.18,"160,130,90",,,,,
P_W_02_b,X,continuous,0.18,"160,130,90",,,,,
P_W_03,X,continuous,0.3,"120,89,59",P_S,"200,200,200",1.5,,"120,89,59"
P_W_03_a,X,continuous,0.18,"111,90,62",,,,,
P_W_03_b,X,continuous,0.18,"111,90,62",,,,,
P_W_04_a,X,continuous,0.18,"111,90,62",,,,,
P_W_04_b,X,continuous,0.18,"111,90,62",,,,,
S_C,X,continuous,0.18,"0,0,0",,,,,
S_C_01,X,continuous,0.18,"0,0,0",,,,,
S_C_02,X,continuous,0.18,"0,0,0",,,,,
S_C_03,X,continuous,0.18,"0,0,0",,,,,
S_C_04,X,continuous,0.18,"0,0,0",,,,,
S_K,X,continuous,0.18,"0,0,0",,,,,
S_K_01,X,continuous,0.18,"0,0,0",,,,,
S_K_02,X,continuous,0.18,"0,0,0",,,,,
S_P,X,continuous,0.18,"0,0,0",,,,,
S_P_01,X,continuous,0.18,"0,0,0",,,,,
S_P_02,X,continuous,0.18,"0,0,0",,,,,
S_P_03,X,continuous,0.18,"0,0,0",,,,,
S_P_03,X,continuous,0.18,"0,0,0",,,,,
S_P_04,X,continuous,0.18,"0,0,0",,,,,
S_P_04,X,continuous,0.18,"0,0,0",,,,,
W_L_01_b,X,continuous,0.18,"0,0,0",,,,,
W_L_01_c,X,continuous,0.18,"0,0,0",,,,,
W_L_01_d,X,continuous,0.18,"0,0,0",,,,,
W_L_02_a,X,continuous,0.18,"0,0,0",,,,,
W_L_03_a,X,continuous,0.18,"0,0,0",,,,,
W_L_03_b,X,continuous,0.18,"0,0,0",,,,,
W_L_03_c,X,continuous,0.18,"0,0,0",,,,,
W_L_03_d,X,continuous,0.18,"0,0,0",,,,,
W_L_04_a,X,continuous,0.18,"184,112,40",,,,,
W_L_04_b,X,continuous,0.18,"184,112,40",,,,,
W_L_04_c,X,continuous,0.18,"184,112,40",,,,,
W_L_04_d,X,continuous,0.18,"184,112,40",,,,,
W_L_05_b,X,continuous,0.18,"184,112,40",,,,,
W_L_05_c,X,continuous,0.18,"184,112,40",,,,,
W_L_05_d,X,continuous,0.18,"184,112,40",,,,,
W_L_06_b,X,continuous,0.18,"67,50,45",,,,,
W_L_06_c,X,continuous,0.18,"67,50,45",,,,,
W_L_06_d,X,continuous,0.18,"67,50,45",,,,,
W_L_07_a,X,continuous,0.18,"67,50,45",,,,,
W_L_07_c,X,continuous,0.18,"67,50,45",,,,,
W_L_08,X,continuous,0.18,"0,0,0",,,,,
W_L_09,X,continuous,0.18,"0,0,0",,,,,
W_R_01_a,X,continuous,0.18,"85,226,231",,,,,"230,230,230"
W_R_01_b,X,continuous,0.18,"115,137,138",,,,,
W_R_02_a,X,continuous,0.18,"0,0,0",,,,,
W_R_02_b,X,continuous,0.18,"0,0,0",,,,,
W_R_03_a,X,continuous,0.18,"0,0,0",,,,,
W_R_03_b,X,continuous,0.18,"0,0,0",,,,,
W_R_04_b,X,continuous,0.18,"0,0,0",,,,,
W_R_05,X,continuous,0.25,"191,191,255",,,,,"182,243,255"
W_R_05_a,X,continuous,0.25,"191,191,255",,,,,"182,243,255"
W_R_06_b,X,continuous,0.18,"0,0,0",,,,,
W_R_07_a,X,continuous,0.18,"184,112,40",,,,,
W_R_07_b,X,continuous,0.18,"184,112,40",,,,,
W_R_08_a,X,continuous,0.18,"184,112,40",,,,,
W_R_08_b,X,continuous,0.18,"184,112,40",,,,,
W_R_09_a,X,continuous,0.18,"184,112,40",,,,,
W_R_09_b,X,continuous,0.18,"184,112,40",,,,,
W_R_10_a,X,continuous,0.18,"0,0,0",,,,,
W_R_10_b,X,continuous,0.18,"0,0,0",,,,,
W_T,X,continuous,0.18,"0,0,0",,,,,
W_T_01_a,X,continuous,0.18,"0,0,0",,,,,
W_T_01_b,X,continuous,0.18,"0,0,0",,,,,
W_T_01_c,X,continuous,0.18,"0,0,0",,,,,
W_T_01_n,X,continuous,0.18,"0,0,0",,,,,
W_T_02_a,X,continuous,0.18,"0,0,0",,,,,
W_T_02_b,X,continuous,0.18,"0,0,0",,,,,
W_T_02_c,X,continuous,0.18,"0,0,0",,,,,
W_T_02_n,X,continuous,0.18,"0,0,0",,,,,
W_T_03_a,X,continuous,0.18,"0,0,0",,,,,
W_T_03_b,X,continuous,0.18,"0,0,0",,,,,
W_T_03_c,X,continuous,0.18,"0,0,0",,,,,
W_T_03_d,X,continuous,0.18,"0,0,0",,,,,
W_T_03_e,X,continuous,0.18,"0,0,0",,,,,
W_T_03_f,X,continuous,0.18,"0,0,0",,,,,
W_T_03_n,X,continuous,0.18,"0,0,0",,,,,
W_T_03_p,X,continuous,0.18,"0,0,0",,,,,
W_T_04_a,X,continuous,0.18,"0,0,0",,,,,
W_T_04_b,X,continuous,0.18,"184,112,40",,,,,
W_T_04_c,X,continuous,0.18,"184,112,40",,,,,
W_T_04_n,X,continuous,0.18,"184,112,40",,,,,
W_T_05_d,X,continuous,0.18,"184,112,40",,,,,
W_T_05_e,X,continuous,0.18,"184,112,40",,,,,
W_T_05_f,X,continuous,0.18,"184,112,40",,,,,
W_T_05_g,X,continuous,0.18,"184,112,40",,,,,
W_T_05_h,X,continuous,0.18,"184,112,40",,,,,
W_T_05_k,X,continuous,0.18,"184,112,40",,,,,
W_T_05_m,X,continuous,0.18,"184,112,40",,,,,
W_T_05_p,X,continuous,0.18,"184,112,40",,,,,
W_T_05_r,X,continuous,0.18,"184,112,40",,,,,
W_T_06_g,X,continuous,0.18,"0,0,0",,,,,
W_T_06_h,X,continuous,0.18,"0,0,0",,,,,
W_T_06_k,X,continuous,0.18,"0,0,0",,,,,
W_T_06_r,X,continuous,0.18,"0,0,0",,,,,
W_T_07_g,X,continuous,0.18,"0,0,0",,,,,
W_T_07_h,X,continuous,0.18,"0,0,0",,,,,
W_T_07_k,X,continuous,0.18,"0,0,0",,,,,
W_T_07_r,X,continuous,0.18,"0,0,0",,,,,
W_T_08_a,X,continuous,0.18,"67,50,45",,,,,
W_T_08_b,X,continuous,0.18,"67,50,45",,,,,
W_T_08_c,X,continuous,0.18,"67,50,45",,,,,
W_T_09_d,X,continuous,0.18,"67,50,45",,,,,
W_T_09_e,X,continuous,0.18,"67,50,45",,,,,
W_T_09_f,X,continuous,0.18,"67,50,45",,,,,
W_T_09_g,X,continuous,0.18,"67,50,45",,,,,
W_T_09_h,X,continuous,0.18,"67,50,45",,,,,
W_T_09_k,X,continuous,0.18,"67,50,45",,,,,
W_T_09_m,X,continuous,0.18,"67,50,45",,,,,
